Time,CH1
0.0004762845849802374,-0.002
0.0004802371541501979,0.002
0.00048418972332015843,0.0012
0.00048814229249011893,-0.0048
0.0004920948616600794,0.0104
0.0004960474308300395,-0.0064
0.0005,0.0008
0.0005039525691699605,-0.0012
0.000507905138339921,-0.0052
0.0005118577075098815,-0.0036
0.000515810276679842,0.0004
0.0005197628458498025,-0.0008
0.000523715415019763,-0.0048
0.0005276679841897235,-0.0024
0.000531620553359684,0.0004
0.0005355731225296445,-0.0036
0.000539525691699605,-0.0052
0.0005434782608695655,0.024399999999999998
0.000547430830039526,-0.0008
0.0005513833992094866,-0.0028000000000000004
0.0005553359683794466,0.0052
0.0005592885375494071,0.002
0.0005632411067193676,-0.0032
0.0005671936758893281,0.0016
0.0005711462450592886,-0.0044
0.0005750988142292491,-0.0032
0.0005790513833992096,0.004
0.0005830039525691702,-0.0016
0.0005869565217391307,0.0072
0.0005909090909090912,-0.0004
0.0005948616600790517,0.0012
0.0005988142292490122,-0.002
0.0006027667984189727,-0.0052
0.0006067193675889332,-0.0004
0.0006106719367588937,0.0072
0.0006146245059288537,0.0008
0.0006185770750988142,-0.0032
0.0006225296442687748,0.0012
0.0006264822134387353,-0.006
0.0006304347826086958,-0.002
0.0006343873517786563,-0.0028000000000000004
0.0006383399209486168,-0.0004
0.0006422924901185773,-0.0012
0.0006462450592885378,-0.006
0.0006501976284584983,0.0004
0.0006541501976284588,0.0
0.0006581027667984193,0.0048
0.0006620553359683798,0.0012
0.0006660079051383403,-0.0004
0.0006699604743083008,-0.0024
0.0006739130434782609,0.002
0.0006778656126482214,-0.0016
0.0006818181818181819,-0.0064
0.0006857707509881424,0.0024
0.0006897233201581029,0.0
0.0006936758893280634,-0.0012
0.0006976284584980239,0.002
0.0007015810276679844,0.0008
0.0007055335968379449,-0.002
0.0007094861660079054,-0.004
0.0007134387351778659,-0.0076
0.0007173913043478264,0.0004
0.0007213438735177869,0.0036
0.0007252964426877474,0.0
0.0007292490118577079,-0.0004
0.000733201581027668,0.0016
0.0007371541501976285,0.004
0.000741106719367589,0.0108
0.0007450592885375495,0.0012
0.00074901185770751,0.0024
0.0007529644268774705,-0.002
0.000756916996047431,-0.0024
0.0007608695652173915,-0.004
0.000764822134387352,-0.0064
0.0007687747035573125,-0.0036
0.000772727272727273,-0.004
0.0007766798418972335,0.0
0.000780632411067194,-0.004
0.0007845849802371545,-0.002
0.000788537549407115,0.0
0.0007924901185770751,0.0044
0.0007964426877470356,-0.002
0.0008003952569169961,-0.0016
0.0008043478260869566,-0.0012
0.0008083003952569171,-0.0052
0.0008122529644268776,-0.002
0.0008162055335968381,-0.0012
0.0008201581027667986,0.0
0.0008241106719367591,0.004
0.0008280632411067196,0.0012
0.0008320158102766801,-0.0036
0.0008359683794466406,0.0016
0.0008399209486166011,-0.002
0.0008438735177865616,0.0004
0.0008478260869565222,-0.0032
0.0008517786561264822,-0.0064
0.0008557312252964427,-0.0016
0.0008596837944664032,0.005600000000000001
0.0008636363636363637,-0.002
0.0008675889328063242,0.0024
0.0008715415019762847,0.0016
0.0008754940711462452,-0.0016
0.0008794466403162057,-0.0008
0.0008833992094861663,-0.0008
0.0008873517786561268,-0.0032
0.0008913043478260873,0.0132
0.0008952569169960478,0.005600000000000001
0.0008992094861660083,-0.0016
0.0009031620553359688,0.0024
0.0009071146245059293,-0.0052
0.0009110671936758893,-0.0084
0.0009150197628458498,-0.0008
0.0009189723320158103,-0.0048
0.0009229249011857709,0.0008
0.0009268774703557314,-0.0032
0.0009308300395256919,-0.0088
0.0009347826086956524,-0.0008
0.0009387351778656129,-0.002
0.0009426877470355734,-0.0064
0.0009466403162055339,-0.0028000000000000004
0.0009505928853754944,-0.0016
0.0009545454545454549,0.0004
0.0009584980237154154,0.0028000000000000004
0.0009624505928853759,0.0008
0.0009664031620553364,0.0
0.0009703557312252965,0.0012
0.000974308300395257,-0.0008
0.0009782608695652175,-0.0072
0.000982213438735178,-0.0032
0.0009861660079051385,0.0012
0.000990118577075099,-0.0256
